""Participant wise Trading Volume (no. of contracts) in Equity Derivatives as on Dec 29,2022"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short	,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts	,Total Short Contracts
Client,314060,321402,685071,698520,68174574,61575839,68473473,61628526,681873,389383,743164,374642,131820800,132239727
DII,16856,16271,456599,437153,0,4299,0,4855,7395,0,0,0,485149,458279
FII,50037,50425,344858,354540,12961485,12327714,12852572,12260844,46283,27313,39609,32759,25757690,25590749
Pro,166468,159323,655440,651755,95390312,98402617,95200326,98416244,942864,554144,895642,563439,196111845,195886729
TOTAL,547421,547421,2141968,2141968,176526371,172310469,176526371,172310469,1678415,970840,1678415,970840,354175484,354175484
