""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on Dec 30,2022"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short	,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts	,Total Short Contracts
Client,217686,149244,1418983,208081,2888585,2180934,2831177,2389960,576545,238439,389553,336654,7521171,6304669
DII,32093,80232,36190,1485889,401,35023,0,0,4999,1000,10485,0,109706,1576606
FII,59856,58909,1000421,924620,416803,454932,363939,290366,11471,13077,19611,11646,1956560,1669091
Pro,17595,38845,282197,119201,802200,772758,912873,763321,146751,233546,320117,137762,2255047,2292118
TOTAL,327230,327230,2737791,2737791,4107988,3443647,4107988,3443647,739766,486062,739766,486062,11842484,11842484
