""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on Dec 29,2022"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short	,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts	,Total Short Contracts
Client,210237,156326,1405333,206134,1234837,1703462,1349058,1739328,456853,203876,314091,289676,5214597,4054613
DII,31018,81956,35713,1465644,401,35023,0,0,4600,1000,3257,0,107755,1550857
FII,61505,46939,985590,914118,229665,302517,127681,227219,3484,5435,8481,5910,1588196,1330348
Pro,21620,39159,269785,110525,375684,525906,363848,600361,105437,186137,244545,100862,1484569,1459299
TOTAL,324380,324380,2696421,2696421,1840586,2566908,1840586,2566908,570374,396448,570374,396448,8395117,8395117
